artist_query,channel_id_found,channel_title_verified,subscriber_count,view_count,video_count,total_top10_video_likes
Cheer Chen,UC0iVEbvbqSDA9_xXbYGG6Vg,陳綺貞 cheerego com,20700.0,18693449.0,3.0,0.0
Wolfgang Amadeus Mozart;Members of the Netherlands Wind Ensemble;Werner Herbers;Carlo Ravelli;Hans Mossel;Hens Otter;Joep Terwey;Kees Olthuis;Iman Soeteman;Jan Peeters;Hans Krul,,,,,,
Gekkenhuys;Nigel Sean,,,,,,
Léo Delibes;Slovak Radio Symphony Orchestra;Andrew Mogrelia,,,,,,
Giuseppe Verdi;Mariinsky Chorus;Mariinsky Orchestra;Valery Gergiev,,,,,,
Stanton Warriors;Keith Thompson,,,,,,
Ivan Petrov;Galina Vishnevskaya;Eugene Bekov,,,,,,
Isabel Jacobetty;Ana Encarnação,,,,,,
Chris James,UC9Lxf7MwLzQihO33n6cdAxg,Chris James - Topic,156.0,40043.0,62.0,97.0
Khontkar;Bixi Blake,UCNNiNTmHbKa5fqpB82npitg,Khontkar - Topic,2470.0,23576283.0,132.0,104734.0
Sonu Nigam;Sabri Brothers,UCrrcfkgyRSCF8dll5vFa7rA,Sabri Brothers - Topic,89500.0,57802258.0,885.0,260558.0
Matogrosso & Mathias;Agnaldo Timoteo,UCwOW6efYU16smdJRxf49Hfw,Matogrosso & Mathias - Topic,18800.0,130069625.0,252.0,403108.0
Giuseppe Verdi;Luciano Pavarotti;Dame Joan Sutherland;The London Opera Chorus;National Philharmonic Orchestra;Richard Bonynge,UCdhQjCg3iODx7QWINjEDbZA,Richard Bonynge - Topic,999.0,50171.0,132.0,345.0
Juan Perro,UChffhmzbaFYEPe92O3vdITQ,Juan Perro - Topic,43.0,136652.0,73.0,1021.0
Nas;Ms. Lauryn Hill,UC3j9UpJkGNY9GDm3EdbEiVA,Ms. Lauryn Hill - Topic,17600.0,369153235.0,212.0,2612484.0
Moonbootica;Ante Perry,UCijxkz652ZDbxU7jv81-8qQ,Ante Perry,1350.0,508038.0,196.0,816.0
Zikxo;Hornet La Frappe,UCnIKq6vbPpnokUwU4eiVMow,Hornet La Frappe - Topic,103000.0,141151734.0,201.0,453414.0
Onur Atli;Efekan;Jordan Rys,UCDhaQDHcrBlgQmiYJ1cT1qw,BLACK HUNTER,26.0,10460.0,38.0,0.0
Fejká;Rökkurró,UCMJqwQsmVIbbkT6-X0CgUFQ,Fejká - Topic,413.0,1061277.0,59.0,8596.0
Carlos Di Sarli,UC84f-qMCD2OxFRLdfMbnUUA,Carlos di Sarli - Topic,6460.0,6186858.0,3722.0,5260.0
Yung Pinch;Lil Skies,UCXzjdfbvSVPHz9yPV4-rqAA,Lil Skies - Topic,28900.0,338989729.0,168.0,1698960.0
High Contrast;Camo & Krooked;Mefjus,UCvit4Ppdfdbk2sGFuXFZgHg,High Contrast - Topic,6980.0,20041306.0,372.0,117711.0
Sara Watkins,UCOGQO_wD5rJ_gsRPfFZsaww,Sara Watkins - Topic,889.0,773973.0,82.0,7557.0
Marshmello;Khalid;Slushii,UCrxpwXq8wCTskOQq5d_KoqQ,Marshmello - Topic,24100.0,1163746880.0,581.0,6341518.0
